name,mjd,snr_heim,dm_heim,dm_opt,dm_exgal,ibox,redshift,ra,dec,beam,ids,rm_opt,rm_err,rmgal,rmgalerr,rmion,rmionerr,Voltage Localization
clare,59600.23017,9.4,313.4,313.5,228.5829,8,,84.4941925,65.7,100,220121aaat,-4.597399298,15.47723926,-27.37524604,12.97112741,0.42736361,0.1065736,05h42m38.5s +64d23m35.9s
fen,59614.72653,16.2,612.6,612.2,559.4325,4,0.4,278.2,71.6,209,220204aaai,-10.94711906,11.70993397,-9.474801138,14.15143335,1.1713766,0.08799855,18h16m54.30s +69d43m21.01s
zach,59617.8085,60,263,262.3,182.9791,2,0.043,310.7,71.6,136,220207aabh,162.4812379,0.036473465,-5.220261941,16.93387309,1.35038463,0.07292738,20h40m47.886s +72d52m56.378s
ishita,59618.82963,13.8,440.7,437,346.6485,16,0.351,319.2,71.5,59,220208aaaa,-23.27049783,9.696166773,0.138502333,14.60000108,1.58097994,0.07460647,21h30m18.03s +70d02m27.75s
alex,59645.84563,11.9,499.3,499.15,363.4321,2,0.2507,351.6,71.5,138,220307aaae,-947.2309128,12.27297677,-4.110434912,28.64048484,1.85346975,0.09218251,23h23m29.879s +72d11m32.59s
whitney,59648.24172,68.4,462.7,462.15,416.71,4,0.479,136.0831843,71.72278956,150,220310aaam,11.38838811,0.192103653,-14.33087865,7.431153075,0.51171753,0.09407029,08h58m52.92s +73d29m27.0s
mark,59657.93276,41.7,111,110.95,-22.3052,1,0.0111,34.5,71.5,172,220319aaeb,59.93568224,14.32789524,-13.815526,17.6750599,2.07296194,0.08659756,02h08m42.701s +71d02m06.936s
erdos,59668.26841,12.9,467.8,468.1,428.7454,32,0.3714,163.7,71.8,164,220330aaan,-122.0599327,4.538770189,-21.28881556,7.813789981,0.76298198,0.10182514,10h55m00.30s +70d21m02.70s
quincy,59687.35573,10.9,624.1,623.45,585.8402,4,0.622,219.5,71.7,66,220418aaai,6.133794178,7.481884671,7.957238953,13.95961633,0.62922936,0.09636225,14h36m25.338s +70d05m45.40s
davina,59693.77943,9.4,863.9,863.35,717.2938,2,,14.83,71.5,37,220424aabq,126.8502289,13.41160568,-37.37838789,23.3618035,1.90758386,0.10450439,01h18m02.43s +71d47m47.06s
oran,59705.59701,48.9,396.7,396.93,307.8111,2,0.3005,318.3,71.5,180,220506aabd,-32.3807017,3.598093779,-9.68099067,14.71684838,1.16468909,0.08358152,21h12m10.760s +72d49m38.20s
jackie,59708.4945,21.5,270.3,269.5,214.29,2,0.0894,282.443254,71.6,216,220426aaaw,-109.0006021,1.167334064,14.029193,14.04851397,0.69335601,0.08379583,18h50m40.8s +70d14m37.8s
gertrude,59786.69327,12.7,686.2,686.55,601.3678,4,0.361,73.8,71.6,150,220726aabn,499.7998215,7.201796838,-53.14050411,19.04647259,1.05487358,0.05380372,04h55m46.96s +69d55m44.8s
augustine,59792.61776,9.3,413.4,413,303.7314,4,,53.8,71.6,102,220801aabd,,,,,,,03h39m51.23s +70d10m53.7s
ansel,59816.25729,15.0645,649.8,651.2,571.5,4,0.241397,307.8,71.6,53,220825aaad,750.2305147,6.667612406,-3.534762638,15.263977,0.32469077,0.03339595,20h47m55.548s +72d35m05.89s
ada,59822.31072,19.2,1146.1,1146.25,1036.45,8,0.262,333.09,71.6,11,220831aaaj,772.092557,7.193402076,-3.09856022,19.90197676,0.58176368,0.06145238,22h34m46.93s +70d32m18.40s
elektra,59836.14597,9.6,630.7,631.05,575.86,2,0.1138,282.6,71.6,220,220914aabz,,,,,,,18h48m13.63s +73d20m12.89s
etienne,59842.98157,14.4,315.1,315,274.681,2,0.1585,235.0930439,71.72255559,23,220920aacl,-830.2505652,8.294899064,0.724295039,13.11590083,1.6035355,0.08753863,16h01m01.700s +70d55m07.681s
celeste,59848.23594,10.3,442.7,441.53,338.73,2,,328,71.5,196,220926aaeu,,,,,,,21h54m55.9s +72d51m25.35s
arni,59854.0651,8.5,321.4,322.5,268.3474,16,,281,71.6,34,221002aaab,,,,,,,
juan,59864.05109,9.4,442.699,442.2,387.8474,8,0.284,280.95,71.6,126,221012aaab,165.700713,17.6600188,3.06724263,12.44850075,1.6915472,0.12575722,18h43m11.69s +70d31m27.15s
koyaanisqatsi,59879.58998,12.1,452.7,452.5,405.36,2,0.542,130.9,71.6,101,221027aags,,,,,,,08h43m29.23s   +72d06m03.5s
mifanshan,59881.62373,12.1,1392.04,1391.05,1347.42,4,0.975,143.8,71.6,158,221029aado,-155.7620795,9.667409,-16.91376865,5.959292356,0.96375853,0.09930312,09h27m51.22s +72d27m08.34s
nina,59884.16579,10.1,491.6,490.7,366.211,8,0.2395,342,71.5,109,221101aaag,-32.17864343,9.100362347,-41.37487364,14.12538507,0.5971718,0.10615382,22h48m51.89s +70d40m52.2s
ayo,59884.42699,15,1475.53,1476.5,1393.7757,8,,75.6,71.6,116,221101aaar,4670.346031,10.76854371,-49.32144771,17.19755283,0.64079898,0.10441965,05h04m14.72s +72d26m47.49s
isha,59896.38651,9.9,411.027,411.4,323.5,1,0.2505,72.8,71.6,153,221113aaao,14.34597843,10.53380978,-52.60034426,18.59172931,0.330348261,0.042693318,04h45m38.64s +70d18m26.6s
charlotte,59899.22478,18.6,643.448,640.6,496.8,16,0.2764,17.7,71.6,60,221116aaab,-74.03694941,11.54572275,-47.75239298,29.60604122,0.363157213,0.047451301,01h24m50.45s +72d39m14.1s
wilhelm,59916.00175,223.7,602.7,602.25,517.35,2,0.51,315.1,71.6,109,221203aaaa,-19.53511472,1.30094E-11,-3.652533667,13.51160719,0.766577059,0.061246636,21h00m31.09s +72d02m15.22s
nihari,59932.79298,8.9,706.7,706.7,662.3,16,0.554,255.8,71.6,89,221219aabz,,,,,,,17h10m31.15s +71d37m36.63s
bert,59937.01347,25.7,745.503,745.3,623.9,8,,339.0824217,71.6,98,221224aaab,-159.4379667,8.847100375,-15.44968041,21.85123979,0.621732397,0.05331136,22h42m31.13s +73d03m21.29s
zeynep,59956.6462,8.5,649.9,650.2,611.6,16,,230,71.6,57,230112aaaw,,,,,,,15h19m35.25s +70d55m55.83s
leonidas,59968.63195,10.7955,590.574,590,551.1,16,0.094,233.0768182,71.72730269,146,230124aaav,-1084.469254,12.93064507,2.920629557,11.89984282,1.02997229,0.07273766,15h27m39.90s +70d58m05.2s
ramata,59977.95636,10.1328,808.838,810,664.4,8,,358.710318,1.221556166,25,230202aada,-479.8175133,11.57283841,-2.861435845,5.185744574,3.424248826,0.687498381,00h01m09.15s +01d26m19.1s
ferb,59991.35651,11.8,828,828,788.8,8,0.531,156.5,1.2,89,230216aaag,339.8832278,12.52412061,6.735146822,5.871036149,2.500301002,0.116883493,10h25m53.32s +03d26m12.57s
phineas,60010.37886,89.5,608.9,610.15,580.65,4,0.271,177.9,71.6,218,230307aaao,476.669517,0.025882965,-5.624242158,7.516569814,0.907253615,0.063273058,11h51m07.52s +71d41m44.3s
freya,60028.07169,55.9,914.4,912.38,841.48,4,,88.4,71.6,141,230325aaag,15.37970138,0.000251185,-19.62030219,9.831041877,2.3083969,0.29419721,05h52m45.12s +74d12m01.7s
mikayla,60065.65976,20.3,532.5,533.7,413,2,0.301,340.1,71.5,95,230501aaae,119.6980088,1.560559273,-4.36515132,25.97213843,1.81426509,0.21564312,22h40m06.52s +70d55m19.82s
bruce,60085.63616,9.3,1342.88,1345.65,1210.55,4,1.354,349.7,71.5,98,230521aaad,-20.99985904,13.67354844,-19.96219168,31.78617949,1.55740969,0.17939419,23h24m08.64s +71d08m16.91s
fatima,60121.23527,10.8,452.7,451.2,411.9,2,0.327,235.6,71.6,222,230626aaai,576.7069931,12.41728726,-0.592856726,12.54718363,1.16077566,0.17379392,15h42m31.10s +71d08m00.77s
tildis,60123.01274,20.5,344.952,345.15,306.35,4,0.1265,161.9,71.6,35,230628aaaa,17.39159559,2.244949843,-17.01540091,6.882758194,1.53699687,0.14731436,11h07m08.81s +72d16m54.64s
johndoe,60123.49022,72.6,696.4,,,16,0.5535,334.4,71.5,128,,,,,,,,
pingu,60137.99608,11.5,587.6,586.96,548.21,2,0.4525,170.7,71.6,184,230712aadj,77.74760255,17.71659187,-17.55584451,7.176425996,1.63264272,0.14776229,11h09m26.047s   +72d33m28.02s
jonas,60139.43068,46.1,841,838.95,736.95,4,,327.6,71.5,149,230714aacu,-145.0524407,0.02721091,-0.999602738,18.68519847,1.03666529,0.15176674,21h50m07.20s +71d47m39.47s
johndoe (II),60170.36093,45.1,696.2,696.35,597.35,8,,335.9,71.5,93,230814aaas,-18.26489523,0.382545474,-11.37867816,21.624373,0.641659471,0.054315975,22h23m53.94s +73d01m33.26s
hamilton,60200.20716,16.1,518.6,518.7,445.6,1,,308.4,71.6,190,230913aaao,61.97740425,8.673379714,14.59703154,13.84521711,1.22761848,0.21104884,20h20m08.92s +70d47m33.96s
mizu,60268.56379,15.5,437.7,438.9,395.8,16,0.07,144,71.8,117,231120aabi,,,,,,,09h35m56.15s +73d17m04.8s
squanto,60271.82255,12.1,396.9,396.7,356.1,8,0.2625,240.6,71.7,85,231123aacm,-379.3701463,18.10172884,3.114008616,13.96740501,3.18888055,0,16h10m09.16s +70d47m06.2s
